no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,required_car_parking_space,lead_time,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status,type_of_meal_plan_Meal Plan 2,type_of_meal_plan_Meal Plan 3,type_of_meal_plan_Not Selected,room_type_reserved_Room_Type 2,room_type_reserved_Room_Type 3,room_type_reserved_Room_Type 4,room_type_reserved_Room_Type 5,room_type_reserved_Room_Type 6,room_type_reserved_Room_Type 7,market_segment_type_Complementary,market_segment_type_Corporate,market_segment_type_Offline,market_segment_type_Online
3,0,1,1,0,-0.9943918096796907,0,0,0,1.5510123794234434,0,0,False,False,False,False,False,True,False,False,False,False,False,False,True
1,0,0,2,0,-0.5401512530961065,0,0,0,-0.4696387353024927,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False
2,0,0,1,1,-0.5750928343717668,0,0,0,0.01275614349475547,0,0,False,False,False,False,False,False,False,True,False,False,False,False,True
2,1,0,5,0,-0.2606186028908239,0,0,0,0.8039406644719529,2,0,False,False,False,False,False,False,True,False,False,False,False,True,False
0,2,2,2,0,0.018914047314458653,0,0,0,0.2421427348284322,1,0,False,False,False,True,False,False,False,False,False,False,False,False,True
2,0,1,2,0,-0.3188545716835911,0,0,0,-0.6916257591737927,1,0,False,False,False,False,False,False,False,False,False,False,False,False,True
2,0,0,2,0,2.511413511644895,0,0,0,-1.4657343552378133,0,1,False,False,False,False,False,False,False,False,False,False,False,True,False
2,0,0,2,0,3.0355372307798,0,0,0,0.32723776064576376,1,1,True,False,False,False,False,False,False,False,False,False,False,False,True
1,0,0,1,0,3.2102451371581013,1,1,0,-0.35579923588131324,0,1,False,False,False,False,False,False,False,False,False,False,False,False,True
1,0,1,0,1,-0.9594502284040304,1,0,3,-1.09575598211898,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False
2,0,0,4,0,-0.4236793155105721,0,0,0,-0.9249967329872107,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False
1,0,0,1,0,-0.7730951282671753,0,0,0,0.8964352577516612,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True
2,0,0,2,0,-0.13249947154673608,0,0,0,-0.05697054990071705,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False
2,0,0,3,0,-0.5983872218888737,0,0,0,0.10240474928893407,1,0,False,False,True,False,False,False,False,False,False,False,False,False,True
2,0,1,4,0,-0.14414666530528952,0,0,0,-0.6958947404020871,1,1,False,False,False,False,False,False,False,False,False,False,False,False,True
1,0,0,1,0,-0.9943918096796907,0,0,0,-1.0388362324083902,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False
2,0,0,2,0,0.10044440362433274,0,0,0,-0.20496189914825047,1,0,False,False,False,False,False,False,False,False,False,False,False,False,True
2,0,1,4,0,0.5663321539664704,0,0,0,-0.7661906312946654,1,0,False,False,False,False,False,False,False,False,False,False,False,False,True
1,0,1,0,0,-0.9827446159211373,0,0,0,-0.6688578592895569,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True
2,0,0,1,0,-0.12085227778818262,0,0,0,0.691524158793538,1,0,False,False,False,False,False,True,False,False,False,False,False,False,True
2,0,0,4,0,0.17032756617565337,0,0,0,1.0387346320281357,1,0,True,False,False,False,False,False,False,False,False,False,False,True,False
2,0,1,1,0,0.06550282234867241,0,0,0,0.35854362298658793,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True
2,0,0,3,0,-0.7381535469915149,0,0,0,-0.24195973646013372,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False
2,0,1,1,0,-0.842978290818496,0,0,0,1.408713005146969,0,0,False,False,False,False,False,False,False,True,False,False,False,False,True
1,0,0,2,0,-0.6216816094059806,0,0,0,-0.868076983276621,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False
2,0,0,3,0,-0.2606186028908239,0,0,0,0.6659102714237729,1,1,False,False,False,False,False,False,False,False,False,False,False,False,True
3,0,1,3,0,-0.6915647719573013,0,0,0,0.6744482338803612,0,1,False,False,False,False,False,False,False,False,False,False,False,False,True
2,0,0,4,0,2.453177542852128,0,0,0,0.3841575103563535,1,1,True,False,False,False,False,False,False,False,False,False,False,False,True
1,0,0,1,0,-0.9012142596112631,0,0,0,-0.24195973646013372,0,1,False,False,False,False,False,False,False,False,False,False,False,False,True
2,0,2,1,0,-0.9128614533698166,0,0,0,0.773203999628234,0,1,False,False,False,False,False,False,False,False,False,False,False,False,True
2,0,0,2,0,2.0688201488198645,0,0,0,0.1849383863692894,0,1,False,False,False,False,False,False,False,False,False,False,False,True,False
2,0,0,5,0,0.636215316517791,0,0,0,-0.9534566078425055,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False
2,0,2,1,0,0.53139057269081,0,0,0,-0.2561896738877812,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False
3,0,0,3,0,-0.92450864712837,0,0,0,0.953355007462251,0,1,False,False,False,False,False,False,False,False,False,False,False,False,True
2,0,0,2,1,1.5563436234435128,0,0,0,1.1838799937901392,1,1,False,False,False,False,False,False,False,False,False,False,False,False,True
1,0,1,1,0,-0.7730951282671753,0,0,0,-0.8111572335660312,0,0,False,False,True,False,False,False,False,False,False,False,False,True,False
3,0,0,2,0,-0.8080367095428356,0,0,0,1.0956543817387254,4,0,False,False,False,False,False,False,False,False,False,False,False,False,True
1,0,0,2,0,-0.33050176544214455,0,0,0,-0.8111572335660312,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False
2,0,1,2,0,-0.9128614533698166,0,0,0,1.380253130291674,1,0,False,False,False,False,False,False,False,False,False,False,False,False,True
1,0,0,1,1,-0.7847423220257287,1,0,10,-1.09575598211898,1,0,False,False,False,False,False,False,False,False,False,False,True,False,False
2,0,2,5,0,-0.633328803164534,0,0,0,-1.1051477408212271,1,0,False,False,False,False,False,False,False,False,False,False,False,False,True
2,0,2,1,0,-0.92450864712837,0,0,0,-0.5265584850130824,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False
2,0,1,4,0,0.7293928665862185,0,0,0,-1.0388362324083902,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False
2,0,0,3,0,-0.2606186028908239,0,0,0,0.4220091439138956,3,0,False,False,True,False,False,False,False,False,False,False,False,False,True
2,0,0,3,0,1.0788086793428218,0,0,0,-0.25277448890514564,0,1,False,False,False,True,False,False,False,False,False,False,False,False,True
1,0,0,4,0,0.7643344478618789,0,0,0,-0.9249967329872107,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False
2,0,1,3,0,0.0887972098657793,0,0,0,-0.8894218894180921,2,0,False,False,False,False,False,False,False,False,False,False,False,False,True
1,0,0,2,0,0.19362195369276025,0,0,0,-0.4867146602156695,2,1,False,False,False,False,False,False,False,False,False,False,False,False,True
2,0,2,3,0,0.9506895479987338,0,0,0,-0.8894218894180921,1,0,False,False,False,False,False,False,False,False,False,False,False,True,False
2,0,2,1,0,-0.33050176544214455,0,0,0,0.008487162266461078,1,0,False,False,False,False,False,False,False,False,False,False,False,False,True
2,0,0,2,0,1.1137502606184821,0,0,0,-0.7684674212830889,2,1,False,False,False,True,False,False,False,False,False,False,False,False,True
2,0,2,5,0,1.8591706611659025,0,0,0,0.11635008796802883,0,1,False,False,False,False,False,False,False,False,False,False,False,False,True
2,0,0,2,0,-0.4236793155105721,0,0,0,-0.6475129531480857,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False
1,0,0,3,0,-0.16744105282239638,0,0,0,0.4695371349222381,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False
2,0,0,3,0,-0.4819152843033393,0,0,0,-0.8111572335660312,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False
2,0,2,3,0,-0.9710974221625838,0,0,0,-1.1313308256880985,0,0,False,False,True,False,False,False,False,False,False,False,False,True,False
2,1,2,5,0,0.7177456728276651,0,0,0,0.0782138556619336,2,0,False,False,False,False,False,False,False,False,False,False,False,False,True
2,0,0,1,0,-0.9943918096796907,0,0,0,3.40090424501761,0,1,False,False,False,False,False,True,False,False,False,False,False,False,True
2,0,0,2,0,-0.4819152843033393,0,0,0,-1.0246062949807428,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True
2,0,2,2,0,0.35668266631250845,0,0,0,-1.2522852938231017,0,1,False,False,False,False,False,False,False,False,False,False,False,False,True
2,0,2,1,0,-0.8662726783356028,0,0,0,0.6402963840540074,1,0,False,False,False,False,False,True,False,False,False,False,False,False,True
2,0,0,1,0,0.5080961851737031,0,0,0,0.30731584824705727,1,0,False,False,False,False,False,False,False,False,False,False,False,False,True
2,0,2,5,0,-0.842978290818496,0,0,0,-0.5183051213050468,1,1,False,False,False,True,False,False,False,False,False,False,False,False,True
2,0,2,2,0,1.1719862294112493,0,0,0,-0.6475129531480857,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False
2,0,2,1,0,-0.7614479345086218,0,0,0,-0.29887948617072346,2,0,False,False,False,False,False,False,False,False,False,False,False,False,True
1,0,1,3,1,-0.8546254845770493,0,0,0,-0.24195973646013372,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True
2,0,1,1,0,-0.8779198720941562,0,0,0,-0.6475129531480857,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True
2,0,1,2,0,0.19362195369276025,0,0,0,-1.2522852938231017,0,1,False,False,True,False,False,False,False,False,False,False,False,True,False
1,0,1,0,0,-0.9128614533698166,0,0,0,-0.2704196113154286,0,0,False,False,False,False,False,True,False,False,False,False,True,False,False
2,0,2,1,0,-0.6915647719573013,0,0,0,0.5833766343434176,3,0,False,False,False,False,False,False,False,False,False,False,False,False,True
2,0,2,2,0,0.24021072872697402,0,0,0,-0.3572222296240779,1,0,False,False,False,False,False,True,False,False,False,False,False,False,True
2,0,0,2,0,2.7327101930574105,0,0,0,0.32723776064576376,1,1,True,False,False,False,False,False,False,False,False,False,False,True,False
1,0,3,7,0,-0.9943918096796907,1,0,1,-0.9819164826978004,1,0,False,False,False,False,False,False,False,False,False,False,False,False,True
2,0,0,2,0,-0.842978290818496,0,0,0,-0.640397984434262,0,0,False,False,True,False,False,False,False,False,False,False,False,False,True
2,0,0,3,0,-0.8196839033013891,0,0,0,-0.0017583926814450602,0,1,False,False,False,False,False,False,False,False,False,False,False,False,True
2,0,0,4,0,2.1503505051297385,0,0,0,-0.6688578592895569,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False
2,0,1,2,0,0.19362195369276025,0,0,0,-0.40560401687807923,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True
1,0,0,2,0,0.19362195369276025,0,0,0,-0.4696387353024927,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False
1,0,0,1,0,-0.9827446159211373,0,0,0,-1.09575598211898,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False
2,0,0,3,0,-0.08591069651252231,0,0,0,-0.24195973646013372,1,0,False,False,False,False,False,False,False,False,False,False,False,True,False
2,0,0,2,0,0.3100938912782947,0,0,0,-0.09966036218365937,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False
2,0,0,2,0,2.185292086405399,0,0,0,0.1564785115139945,0,1,True,False,False,False,False,False,False,False,False,False,False,True,False
1,0,1,2,0,-0.7032119657158546,0,0,0,0.725676008619892,2,0,False,False,False,False,False,False,False,False,False,False,False,False,True
2,0,2,2,0,-0.15579385906384294,0,0,0,-0.6788188154889099,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True
2,0,2,3,0,0.0887972098657793,0,0,0,-0.7684674212830889,2,1,False,False,False,False,False,False,False,False,False,False,False,False,True
2,0,0,1,0,0.06550282234867241,0,0,0,0.30731584824705727,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True
2,0,2,0,0,-0.7148591594744081,0,0,0,-0.9053594193370573,1,0,False,False,True,False,False,False,False,False,False,False,False,False,True
1,0,2,0,0,-0.9361558408869235,1,0,2,-1.067296107263685,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False
1,0,0,1,0,-0.92450864712837,0,0,0,-0.44117886044719784,0,0,False,False,True,False,False,False,False,False,False,False,False,False,True
2,0,0,2,0,-0.33050176544214455,0,0,0,0.9220491451214268,1,0,False,False,False,False,False,False,False,False,False,False,False,False,True
1,0,0,2,0,-0.8313310970599425,0,0,0,-2.945647847713147,0,0,True,False,False,False,False,False,False,False,False,False,False,False,True
1,0,0,1,0,-0.8546254845770493,0,0,0,-0.8054652585949722,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True
1,0,1,0,0,-0.9361558408869235,0,0,0,-0.8638080020483265,0,0,False,False,True,False,False,False,False,False,False,False,False,False,True
1,0,0,1,0,0.15868037241709995,0,0,0,-0.640397984434262,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False
2,0,2,5,0,0.13538598489999307,0,0,0,0.1795310101467834,1,0,False,False,False,False,False,False,False,False,False,False,False,False,True
2,0,1,5,0,-0.342148959200698,0,0,0,-0.502367591386082,1,1,False,False,False,False,False,False,False,False,False,False,False,False,True
2,0,1,1,0,-0.2955601841664842,0,0,0,0.5634547219447111,1,1,False,False,False,False,False,True,False,False,False,False,False,False,True
1,0,2,1,0,-0.9012142596112631,0,0,0,-0.5165975288137294,1,0,False,False,True,False,False,False,False,False,False,False,False,False,True
3,0,0,3,0,1.3117525545138906,0,0,0,1.588010216735327,1,1,False,False,False,False,False,True,False,False,False,False,False,False,True
2,0,4,6,0,0.9041007729645201,0,0,0,-0.8894218894180921,1,0,True,False,False,False,False,False,False,False,False,False,False,True,False
1,0,1,2,0,-0.7730951282671753,0,0,0,0.4072100089891424,1,0,False,False,False,False,False,False,False,False,False,False,False,False,True
2,0,1,2,0,-0.7614479345086218,0,0,0,-0.6688578592895569,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False
1,0,1,1,0,-0.9594502284040304,0,0,0,-0.13381221201001328,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False
2,0,2,1,0,-0.9827446159211373,0,0,0,-1.4799642926654608,0,0,False,False,False,False,False,True,False,False,False,False,False,True,False
2,0,2,0,0,-0.6449759969230875,0,0,0,-0.680241809231675,1,0,False,False,False,False,False,True,False,False,False,False,False,False,True
1,0,1,1,0,0.37997705382961533,0,0,0,0.1849383863692894,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False
2,0,2,0,0,3.5014249811219376,0,0,0,0.32723776064576376,1,1,True,False,False,False,False,False,False,False,False,False,False,False,True
2,0,2,2,0,1.1719862294112493,0,0,0,-0.025664687559892853,2,1,False,False,True,False,False,False,False,False,False,False,False,False,True
2,0,0,3,0,2.5463550929205554,0,0,0,-0.41271898559190295,0,1,False,False,False,False,False,False,False,False,False,False,False,False,True
1,0,0,1,0,-0.9710974221625838,0,0,0,-1.3803547306719286,0,0,False,False,False,False,False,True,False,False,False,False,False,True,False
1,0,1,2,0,-0.8546254845770493,0,0,0,-0.8111572335660312,0,0,False,False,False,False,False,True,False,False,False,False,False,True,False
2,2,1,0,0,-0.8895670658527097,0,0,0,2.774786998201123,3,0,False,False,False,False,False,False,False,True,False,False,False,False,True
3,0,0,5,0,1.137044648135589,0,0,0,2.390578687654642,0,1,True,False,False,False,False,True,False,False,False,False,False,False,True
2,0,0,3,0,-0.07426350275396887,0,0,0,-1.8832407193649892,1,0,False,False,False,False,False,False,False,False,False,True,False,False,False
2,0,2,3,0,1.9872897925099902,0,0,0,-0.0783154560421882,0,1,False,False,False,False,False,False,False,False,False,False,False,False,True
2,0,0,2,0,0.13538598489999307,0,0,0,-0.20496189914825047,1,0,False,False,False,False,False,False,False,False,False,False,False,False,True
2,0,0,4,0,1.0438670980671614,0,0,0,0.2597878572387148,0,1,False,False,False,False,False,False,False,False,False,False,False,False,True
1,0,0,1,0,-0.19073544033950326,0,0,0,-1.3086358460365854,1,0,False,False,True,False,False,False,False,False,False,False,False,False,True
2,0,0,1,0,-0.8779198720941562,0,0,0,-0.24195973646013372,1,0,False,False,False,False,False,False,False,False,False,False,False,True,False
2,0,2,3,0,-0.9943918096796907,0,0,0,-1.1583677068006288,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False
1,0,2,1,0,0.42656582886382904,0,0,0,-0.4980986101577876,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False
2,0,0,3,0,-0.8662726783356028,0,0,0,-0.22829899652959207,1,0,False,False,False,False,False,True,False,False,False,False,False,False,True
2,0,0,1,0,-0.21402982785661015,0,0,0,0.6146824966842418,1,0,False,False,True,False,False,False,False,False,False,False,False,False,True
3,0,0,3,0,-0.5052096718204462,0,0,0,0.0938667868323457,1,0,False,False,False,False,False,False,False,False,False,False,False,False,True
2,0,2,1,0,-0.9478030346454769,0,0,0,0.1564785115139945,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False
1,0,1,0,0,-0.9478030346454769,0,0,0,-1.2665152312507493,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False
2,0,1,2,0,0.5546849602079169,0,0,0,-0.4269489230195504,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True
2,0,1,4,0,-0.13249947154673608,0,0,0,-1.3735243607066578,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True
1,0,0,1,0,-0.9710974221625838,0,0,0,-0.02281870007436312,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True
2,0,2,0,0,0.5779793477250238,0,0,0,-0.2561896738877812,2,0,False,False,True,False,False,False,False,False,False,False,False,False,True
3,0,0,3,0,0.4964489914151497,0,0,0,0.05402296203493312,1,0,False,False,False,False,False,False,False,False,False,False,False,True,False
2,0,1,0,0,-0.9943918096796907,0,0,0,-0.41271898559190295,0,0,False,False,True,False,False,False,False,False,False,False,False,False,True
2,0,1,0,0,-0.92450864712837,0,0,0,-0.640397984434262,0,0,False,False,True,False,False,False,False,False,False,False,False,False,True
2,0,0,2,0,-0.55179844685466,0,0,0,-0.5265584850130824,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False
1,0,0,1,0,-0.7614479345086218,0,0,0,1.4940926297128536,0,1,False,False,False,False,False,True,False,False,False,False,False,False,True
2,0,1,3,0,1.8009346923731353,0,0,0,-0.3572222296240779,2,0,False,False,False,False,False,False,False,False,False,False,False,False,True
1,0,2,5,0,-0.5983872218888737,0,0,0,-0.8168492085370903,2,1,False,False,False,False,False,False,False,False,False,False,False,False,True
2,0,0,2,0,-0.07426350275396887,0,0,0,-0.8111572335660312,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False
2,1,2,3,0,0.4731546038980428,0,0,0,0.6246434528835952,2,0,False,False,False,False,False,True,False,False,False,False,False,False,True
1,0,0,1,0,-0.9478030346454769,0,0,0,-0.44117886044719784,1,0,False,False,False,False,False,False,False,False,False,False,False,False,True
2,0,0,1,0,-0.633328803164534,0,0,0,0.6146824966842418,1,0,False,False,False,False,False,False,False,False,False,False,False,False,True
2,0,2,1,0,-0.9710974221625838,0,0,0,-0.8111572335660312,0,0,False,False,False,False,False,True,False,False,False,False,False,True,False
2,0,0,2,0,-0.5867400281303202,0,0,0,-0.5481879899031067,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True
3,0,2,2,0,0.7177456728276651,0,0,0,0.6952239425247266,1,0,False,False,False,False,False,True,False,False,False,False,False,False,True
1,0,0,2,0,1.195280616928356,0,0,0,0.7541358834751869,0,1,False,False,False,False,False,False,False,False,False,False,False,True,False
3,0,0,3,0,1.0555142918257148,0,0,0,0.9732769198609571,2,1,False,False,False,False,False,True,False,False,False,False,False,False,True
1,0,1,0,0,-0.9943918096796907,0,0,0,-1.09575598211898,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False
3,0,1,3,0,-0.7381535469915149,0,0,0,2.917086372477597,2,0,False,False,False,False,False,False,False,True,False,False,False,False,True
2,0,0,2,0,-0.633328803164534,0,0,0,0.9220491451214268,1,1,False,False,False,False,False,False,False,False,False,False,False,False,True
2,0,1,3,0,-0.14414666530528952,0,0,0,1.3062574556679076,1,1,False,False,False,False,False,True,False,False,False,False,False,False,True
2,0,0,2,0,-0.9710974221625838,0,0,0,-0.1565801118942491,0,0,False,False,True,False,False,False,False,False,False,False,False,False,True
2,0,2,0,0,-0.027674727719755106,0,0,0,-0.8111572335660312,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False
1,0,0,1,0,-0.9012142596112631,0,0,0,-0.07120048732836448,0,0,False,False,False,False,False,False,False,False,True,False,True,False,False
